respondent,mainbranch,age,country,edlevel,employment,yearscodepro,languageworkedwith,databaseworkedwith,platformworkedwith
26,I am a developer by profession,34.0,United States,Some college/university study without earning a degree,Employed full-time,8,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA,Microsoft SQL Server;MySQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Microsoft Azure;Windows;WordPress
29,I am a developer by profession,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;JavaScript;SQL,Firebase;MongoDB;MySQL,
32,I am a developer by profession,21.0,United States,Associate degree,Employed full-time,2,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python,MongoDB;PostgreSQL;Redis,
38,I am a developer by profession,44.0,Czech Republic,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,22,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Windows
39,I am a developer by profession,42.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,23,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;Docker;Kubernetes;Linux;Microsoft Azure;Windows
43,I am a developer by profession,27.0,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,C++;C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,Firebase;MySQL;Oracle;SQLite,Android;Arduino;iOS;MacOS;Raspberry Pi;Slack;Windows;WordPress
44,I am a developer by profession,43.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,19,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript;WebAssembly,Oracle;Other(s):,Linux;Windows
49,I am a developer by profession,34.0,Serbia,Some college/university study without earning a degree,Employed full-time,8,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Cassandra;DynamoDB;Elasticsearch;MariaDB;MongoDB;PostgreSQL,Android;Arduino;AWS;Docker;Linux;Slack;Windows
50,I am a developer by profession,23.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;Oracle;SQLite;Other(s):,Arduino;AWS;Heroku;Linux;MacOS;Raspberry Pi;WordPress
53,"I am not primarily a developer, but I write code sometimes as part of my work",18.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,3,Bash/Shell/PowerShell;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,DynamoDB;MySQL;Oracle;Redis,AWS;Docker
54,I am a developer by profession,37.0,Sweden,,Employed full-time,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,Elasticsearch;Firebase;PostgreSQL;SQLite,Docker;Linux;MacOS
56,I am a developer by profession,33.0,China,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;HTML/CSS;Java;SQL,MySQL;Oracle,Heroku
57,"I am not primarily a developer, but I write code sometimes as part of my work",31.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,Less than 1 year,JavaScript;Python,Firebase;MongoDB,Linux;Windows
60,I am a developer by profession,27.0,United States,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,9,Bash/Shell/PowerShell;Go;JavaScript;PHP;Python;Ruby;SQL,DynamoDB;Elasticsearch;MariaDB;MySQL;Redis;Other(s):,AWS;Docker;Kubernetes
61,I am a developer by profession,34.0,United States,Some college/university study without earning a degree,Employed full-time,8,C++;C#;HTML/CSS;JavaScript;PHP;Python;SQL;VBA,Firebase;Microsoft SQL Server;MySQL;Redis;SQLite,Android;Linux;Raspberry Pi;Windows
62,I am a developer by profession,19.0,Netherlands,Associate degree,Employed full-time,1,Bash/Shell/PowerShell;C++;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Ruby;SQL;TypeScript;VBA,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Android;Linux;MacOS;Microsoft Azure;Raspberry Pi;WordPress;Other(s):
67,"I am not primarily a developer, but I write code sometimes as part of my work",24.0,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,C;C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,DynamoDB;Microsoft SQL Server;MySQL;PostgreSQL,AWS
68,I am a developer by profession,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,HTML/CSS;Java;JavaScript;Python,Elasticsearch;Firebase,AWS;Google Cloud Platform;Linux;MacOS
70,I am a developer by profession,42.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,23,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Windows
71,I am a developer by profession,21.0,Philippines,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,HTML/CSS;JavaScript;PHP;Python;SQL;VBA,MariaDB;MySQL,Android;Arduino;AWS;Linux;MacOS;Raspberry Pi;Windows
74,I am a developer by profession,24.0,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby,DynamoDB,AWS;Linux;MacOS;Raspberry Pi
75,I am a developer by profession,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,HTML/CSS;JavaScript,MongoDB,Heroku
76,I am a developer by profession,32.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,PHP;SQL,MariaDB;MySQL,AWS
78,I am a developer by profession,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,HTML/CSS;Java;JavaScript;Kotlin;Python,MongoDB,Android;Raspberry Pi
80,I am a developer by profession,24.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;C#;F#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,MongoDB;Microsoft SQL Server,Docker;Kubernetes;Linux;Microsoft Azure;Windows
83,I am a developer by profession,22.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,Less than 1 year,HTML/CSS;JavaScript,DynamoDB;Elasticsearch;MongoDB,AWS;Docker;Google Cloud Platform;Linux;MacOS;Slack;Windows
84,I am a developer by profession,26.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,C;C++;C#;Java;Kotlin;PHP;SQL,Firebase;MySQL;SQLite,Android;Windows
86,"I am not primarily a developer, but I write code sometimes as part of my work",26.0,China,Some college/university study without earning a degree,Employed full-time,3,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MongoDB;Microsoft SQL Server;MySQL;Redis;SQLite,Linux;Windows
87,I am a developer by profession,36.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,Bash/Shell/PowerShell;C;C++;C#;Go;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL,Microsoft SQL Server,Android;AWS;Docker;iOS;Linux;MacOS;Slack;Windows
90,I am a developer by profession,25.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,2,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;Objective-C;PHP;Python;Ruby;SQL;Swift;TypeScript,DynamoDB;Firebase;MySQL;SQLite,Android;Docker;Google Cloud Platform;iOS
92,I am a developer by profession,35.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,HTML/CSS;Java;JavaScript;Kotlin;SQL;VBA,PostgreSQL,
94,I am a developer by profession,27.0,United Kingdom,Some college/university study without earning a degree,Employed full-time,5,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Microsoft Azure;Windows
95,I am a developer by profession,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,C#;HTML/CSS;JavaScript;Python;R;SQL,Microsoft SQL Server;PostgreSQL,AWS;Docker;Linux;Windows
97,"I am not primarily a developer, but I write code sometimes as part of my work",25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;JavaScript;Python;R;SQL,Other(s):,Linux;MacOS
100,I am a developer by profession,39.0,Canada,Some college/university study without earning a degree,Employed full-time,20,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,PostgreSQL;Redis,AWS;Docker;Linux;Windows
102,I am a developer by profession,37.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft Azure
104,I am a developer by profession,29.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,C#;HTML/CSS;TypeScript,Microsoft SQL Server,Windows
109,I am a developer by profession,41.0,Croatia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,12,C#;HTML/CSS;JavaScript;SQL,MongoDB;MySQL;Oracle,AWS;Docker;Kubernetes;Windows
110,I am a developer by profession,26.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Python;SQL,Cassandra;Other(s):,
111,I am a developer by profession,54.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,35,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;SQL;VBA,Microsoft SQL Server;Oracle,Arduino;Windows
114,I am a developer by profession,26.0,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,Bash/Shell/PowerShell;C++;Erlang;JavaScript;PHP;Python,MySQL;Redis;Other(s):,Docker;Linux
115,I am a developer by profession,21.0,Sweden,Associate degree,Employed full-time,Less than 1 year,Assembly;C#;HTML/CSS;Java;JavaScript;SQL;Swift,Firebase;MongoDB;Microsoft SQL Server;MySQL,Android;Arduino;Docker;Google Cloud Platform;iOS;MacOS;Slack;Windows;WordPress
116,I am a developer by profession,31.0,Spain,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,Scala;Other(s):,Elasticsearch;PostgreSQL,AWS;Docker;Google Cloud Platform;Linux
117,I am a developer by profession,38.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,11,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Slack;Windows
118,I am a developer by profession,26.0,Italy,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,Bash/Shell/PowerShell;C;C++,SQLite,Docker;Linux
119,I am a developer by profession,28.0,Pakistan,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,C;C++;C#;HTML/CSS;Java;JavaScript;SQL,Firebase;Microsoft SQL Server;MySQL;SQLite,Android;Slack;WordPress
120,I am a developer by profession,26.0,South Africa,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Elixir;HTML/CSS;JavaScript;Python;Ruby;SQL,MongoDB;PostgreSQL,AWS;Heroku;iOS;MacOS;Slack;Windows
124,I am a developer by profession,27.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,HTML/CSS;Java;SQL,MySQL;Oracle,AWS;Google Cloud Platform
126,I am a developer by profession,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,C#;SQL,Microsoft SQL Server,Linux;MacOS;Microsoft Azure;Windows;Other(s):
128,"I am not primarily a developer, but I write code sometimes as part of my work",30.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;Go;Ruby,PostgreSQL;Redis;SQLite,AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS;Slack
129,"I am not primarily a developer, but I write code sometimes as part of my work",34.0,United States,"Other doctoral degree (Ph.D, Ed.D., etc.)",Employed full-time,11,C++;Python;R,MySQL,Linux;Raspberry Pi
130,I am a developer by profession,23.0,Brazil,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;C++;Clojure;HTML/CSS;Java;Python;Ruby;SQL,MySQL;PostgreSQL;Redis;SQLite,AWS;Docker;Linux;MacOS;Slack;Windows;WordPress
135,I am a developer by profession,32.0,Russian Federation,Associate degree,Employed full-time,4,Go;HTML/CSS;JavaScript;TypeScript,Couchbase;MongoDB;PostgreSQL,
139,I am a developer by profession,24.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB;MySQL;Oracle,Linux;Raspberry Pi;Windows
140,I am a developer by profession,25.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Java;JavaScript;Kotlin;PHP;SQL,Firebase;MySQL;PostgreSQL;SQLite,Android;AWS;Heroku;MacOS
144,I am a developer by profession,47.0,Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed part-time,20,Java;SQL,Oracle,Windows
147,I am a developer by profession,,Argentina,Some college/university study without earning a degree,Employed full-time,5,HTML/CSS;Java;JavaScript;Kotlin,MySQL,AWS;Docker;Linux
148,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,HTML/CSS;JavaScript;TypeScript,MySQL,
151,I am a developer by profession,34.0,Romania,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,13,Bash/Shell/PowerShell;C++;C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;MongoDB;Microsoft SQL Server;MySQL,Android;AWS;Docker;Linux;Microsoft Azure;Windows
155,I am a developer by profession,34.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,10,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript,,AWS;Docker
157,I am a developer by profession,25.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MySQL,AWS
158,I am a developer by profession,29.0,Austria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Java;SQL;Other(s):,Oracle,Linux;Windows
159,I am a developer by profession,35.0,South Africa,,Employed full-time,15,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python,Oracle;PostgreSQL;SQLite,Docker;Linux;Raspberry Pi
163,I am a developer by profession,32.0,Iran,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,C#;HTML/CSS;JavaScript;SQL;Other(s):,Microsoft SQL Server,
164,I am a developer by profession,47.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,20,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Raspberry Pi;WordPress
166,I am a developer by profession,30.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,6,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Ruby;SQL,DynamoDB;Elasticsearch;MongoDB;PostgreSQL;Redis;SQLite,AWS;Docker;Linux
173,I am a developer by profession,31.0,Germany,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MySQL,AWS;Docker;Kubernetes
174,I am a developer by profession,24.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python;R,Firebase;MongoDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Android;Arduino;Docker;Linux;Microsoft Azure;Raspberry Pi;Windows;WordPress
176,I am a developer by profession,31.0,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,C;C++;C#;HTML/CSS;Java;JavaScript;Python;SQL,MongoDB;Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite,Android;AWS;Docker;Linux;Windows
177,I am a developer by profession,22.0,Australia,Some college/university study without earning a degree,Employed full-time,2,C#;Python;SQL,Microsoft SQL Server;MySQL;SQLite,Android;Microsoft Azure;Windows
179,I am a developer by profession,35.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift,Firebase;MongoDB;MySQL;PostgreSQL,Android;Docker;iOS
181,I am a developer by profession,29.0,Argentina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,HTML/CSS;JavaScript,,iOS;MacOS;Slack
183,I am a developer by profession,30.0,Hungary,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,Dart;Go;Java;Kotlin;Swift,Firebase;Other(s):,Android;iOS;Other(s):
184,I am a developer by profession,29.0,Latvia,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Bash/Shell/PowerShell;C;C++;Java;JavaScript;Kotlin;Objective-C;Python;Rust;Swift,SQLite,Android;iOS;Linux;Windows;Other(s):
188,I am a developer by profession,28.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,C#;Python;R;SQL;VBA,Microsoft SQL Server,Windows
189,I am a developer by profession,28.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,3,C++;HTML/CSS;JavaScript;Python;SQL,MySQL;PostgreSQL,AWS;Google Cloud Platform;Linux;MacOS
190,I am a developer by profession,27.0,United Arab Emirates,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,4,Java;Scala;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,AWS;Linux;Windows
191,I am a developer by profession,27.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,AWS;Microsoft Azure;Windows
192,I am a developer by profession,28.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,2,Bash/Shell/PowerShell;JavaScript;Python,Elasticsearch;PostgreSQL;Redis,Docker;Google Cloud Platform;Kubernetes;Linux;Raspberry Pi;Slack
194,I am a developer by profession,29.0,Poland,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,5,Assembly;Bash/Shell/PowerShell;C;HTML/CSS;Java;JavaScript;PHP,MySQL,Arduino;Linux;Raspberry Pi;Windows;Other(s):
196,I am a developer by profession,40.0,France,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,16,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server,Windows
201,"I am not primarily a developer, but I write code sometimes as part of my work",35.0,Portugal,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;Go;HTML/CSS;Java;JavaScript;Python;Scala,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Docker;Google Cloud Platform
202,I am a developer by profession,45.0,Canada,Some college/university study without earning a degree,Employed full-time,20,Bash/Shell/PowerShell;C;C++;C#;HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;TypeScript,Microsoft SQL Server;SQLite,Google Cloud Platform;Linux;MacOS;Windows
207,I am a developer by profession,34.0,Hong Kong (S.A.R.),"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,10,Java,Firebase,Android;Docker;Google Cloud Platform
209,I am a developer by profession,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python;SQL,MySQL,Linux
211,I am a developer by profession,30.0,United States,Associate degree,Employed full-time,11,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL,Microsoft SQL Server;SQLite,Android;iOS;Slack
212,I am a developer by profession,30.0,Netherlands,,Employed part-time,2,C#;HTML/CSS;Java;JavaScript;PHP,MariaDB;MySQL,Android;Arduino;Docker;Google Cloud Platform;Linux;Raspberry Pi;WordPress
213,I am a developer by profession,41.0,United Arab Emirates,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,22,Go;Python,DynamoDB;MariaDB;MySQL;SQLite,AWS;Linux
216,I am a developer by profession,35.0,Bulgaria,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Go;Java;Python,PostgreSQL,AWS;Docker;Kubernetes;Linux;Microsoft Azure
217,I am a developer by profession,36.0,Netherlands,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,Go;HTML/CSS;JavaScript;PHP;TypeScript,MongoDB;MySQL,Heroku;WordPress
219,I am a developer by profession,39.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,15,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server,Windows
220,I am a developer by profession,,India,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,5,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Microsoft Azure;Windows
223,I am a developer by profession,23.0,Russian Federation,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,2,Java;Kotlin,SQLite,Android
224,I am a developer by profession,28.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Go,MySQL;Redis,Docker;Kubernetes;Linux;Other(s):
227,I am a developer by profession,33.0,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,6,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;SQL,MongoDB;Microsoft SQL Server;MySQL;PostgreSQL,
231,I am a developer by profession,31.0,Nicaragua,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,8,Elixir;Go;JavaScript;Ruby;SQL,Elasticsearch;MariaDB;PostgreSQL;Redis,Google Cloud Platform;Kubernetes;Linux;Raspberry Pi
232,I am a developer by profession,32.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,10,Bash/Shell/PowerShell;C#;Dart;HTML/CSS;JavaScript,Firebase;SQLite;Other(s):,Android;iOS;Linux;Microsoft Azure;Slack;Windows
234,I am a developer by profession,45.0,Sweden,I never completed any formal education,Employed part-time,21,Bash/Shell/PowerShell;C;Python,MySQL,Docker;Linux;MacOS
238,I am a developer by profession,31.0,India,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,HTML/CSS;JavaScript;Objective-C;PHP;Python,MySQL;SQLite,iOS
241,I am a developer by profession,32.0,Canada,Associate degree,Employed full-time,10,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Redis,Microsoft Azure;Windows
245,I am a developer by profession,35.0,Sweden,Some college/university study without earning a degree,Employed full-time,1,C#;JavaScript;TypeScript,,Windows
246,I am a developer by profession,33.0,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,4,C#;HTML/CSS;JavaScript;SQL;TypeScript,Microsoft SQL Server;SQLite,Microsoft Azure
247,I am a developer by profession,33.0,Austria,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,9,C++;C#,,Android;iOS;Windows
249,I am a developer by profession,24.0,Hong Kong (S.A.R.),"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,1,Bash/Shell/PowerShell;C#;HTML/CSS;Java;Python;SQL,Microsoft SQL Server;Redis,Linux;Windows
252,I am a developer by profession,27.0,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Employed full-time,7,HTML/CSS;JavaScript;Rust;Swift;Other(s):,Microsoft SQL Server;PostgreSQL;Redis;SQLite,AWS;Docker;Heroku;iOS;Kubernetes
253,I am a developer by profession,28.0,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed full-time,9,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Ruby;SQL,MySQL;PostgreSQL,AWS;Linux
254,I am a developer by profession,41.0,Australia,Associate degree,Employed full-time,20,C#;Python;SQL;TypeScript,Microsoft SQL Server;Other(s):,Microsoft Azure
259,I am a developer by profession,31.0,Denmark,Associate degree,Employed full-time,5,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MySQL;PostgreSQL;SQLite,AWS;Google Cloud Platform;Microsoft Azure
261,I am a developer by profession,27.0,United Kingdom,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",Employed full-time,7,HTML/CSS;JavaScript,Firebase;MongoDB,Android;AWS;Docker;Google Cloud Platform;Heroku;iOS;MacOS;Slack;WordPress
